Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
243,San Diego,WCC,33,18-15,100.2,106.6,0.3293,49.0,52.5,18.3,18.1,27.1,31.8,32.0,38.6,47.4,53.7,34.8,33.9,34.1,39.8,71.2,-7.9
244,Lamar,Slnd,33,19-14,102.1,108.6,0.329,50.9,49.2,18.0,19.3,33.1,31.9,33.2,39.2,50.2,48.8,34.8,33.3,35.3,39.6,68.4,-10.0
245,Portland St.,BSky,32,17-15,98.7,105.1,0.329,46.8,52.0,16.4,18.6,29.8,28.3,34.3,34.7,45.6,51.1,32.4,35.6,37.6,38.2,69.4,-11.1
246,Southern,SWAC,32,18-14,97.0,103.2,0.3288,49.4,50.4,20.1,22.1,26.5,30.8,35.6,46.2,49.9,51.5,32.5,32.2,38.0,35.6,67.8,-8.2
247,Albany,AE,32,13-19,104.2,110.9,0.3284,50.4,51.4,17.7,17.0,30.6,29.4,29.2,38.9,51.0,54.6,32.9,29.3,36.9,29.6,73.1,-13.9
248,Norfolk St.,MEAC,35,24-11,102.3,108.9,0.3264,49.6,49.5,18.4,22.0,31.3,31.4,41.8,43.2,49.6,47.7,33.2,34.5,32.5,45.3,66.3,-7.0
249,Miami OH,MAC,32,15-17,99.0,105.5,0.3262,51.0,49.3,17.2,18.0,22.0,30.7,30.4,31.9,48.7,50.5,36.2,31.5,40.3,36.8,67.4,-12.5
250,Cal St. Bakersfield,BW,32,13-19,100.1,106.7,0.3261,47.0,50.0,18.3,18.6,32.9,31.2,32.0,46.7,46.6,49.1,32.1,34.3,25.7,36.7,64.8,-13.8
251,Maine,AE,32,15-17,95.8,102.1,0.3249,47.8,49.9,16.7,19.2,23.0,27.8,30.0,32.1,49.3,50.6,29.7,32.3,32.2,33.2,65.6,-12.2
252,Southern Utah,WAC,31,10-21,104.4,111.3,0.324,48.4,52.6,16.9,17.0,27.9,33.0,36.2,32.2,50.8,53.0,29.4,34.3,35.0,27.2,69.6,-15.1
253,Idaho St.,BSky,34,14-20,102.7,109.7,0.3194,51.1,54.5,16.7,18.2,30.3,26.8,33.5,32.6,52.6,54.7,32.2,36.0,35.0,30.0,63.9,-15.6
254,Canisius,MAAC,32,14-18,100.2,107.1,0.317,49.6,51.2,19.1,16.3,32.8,28.1,27.5,28.0,49.7,51.0,32.9,34.4,36.1,31.8,67.1,-13.3
255,UMBC,AE,32,11-21,104.5,111.8,0.3151,52.7,50.3,17.5,14.9,25.5,31.0,24.1,28.3,52.6,52.2,35.3,31.3,35.1,36.4,73.3,-16.9
256,Green Bay,Horz,32,18-14,102.0,109.3,0.3102,52.4,49.4,18.6,14.0,27.3,28.4,29.4,34.2,53.7,51.6,34.0,30.2,48.2,35.3,63.7,-9.2
257,Queens,ASun,33,14-19,103.8,111.3,0.3101,49.9,54.1,15.7,15.4,27.6,29.5,33.7,29.4,50.1,55.8,33.0,34.2,40.8,36.7,72.9,-13.5
258,Austin Peay,ASun,35,19-16,107.2,115.0,0.3087,50.4,53.1,13.3,16.6,29.9,31.6,31.9,37.9,48.8,54.4,35.5,34.0,35.1,35.7,64.6,-10.5
259,Ball St.,MAC,31,15-16,102.3,109.8,0.3069,50.8,51.3,18.2,16.2,27.3,27.9,38.2,27.6,48.7,50.6,36.1,35.1,37.9,35.2,66.7,-12.5
260,Southern Miss,SB,32,16-16,99.7,107.1,0.3049,48.4,50.5,18.5,17.2,28.9,30.5,37.9,33.0,47.2,48.9,33.8,35.7,33.6,34.5,67.9,-11.1
261,Middle Tennessee,CUSA,33,14-19,98.4,105.8,0.3028,46.0,49.5,20.6,15.8,28.2,30.4,34.9,29.6,45.6,49.0,31.1,33.8,42.1,29.7,65.4,-13.2
262,"Grambling St.  16 seed, R64",SWAC,36,21-15,98.9,106.4,0.302,48.1,49.7,20.0,18.8,27.9,32.8,38.8,33.8,46.9,48.8,34.0,34.3,29.0,34.2,64.8,-8.1
263,Western Illinois,OVC,33,21-12,97.3,104.8,0.299,46.5,46.5,20.1,14.2,37.2,28.9,35.6,25.1,46.0,46.8,31.7,30.4,31.0,30.7,64.7,-8.0
264,North Dakota St.,Sum,32,15-17,103.3,111.2,0.2984,53.3,53.7,16.8,13.2,24.3,24.7,30.3,28.5,51.4,52.8,37.7,36.8,35.9,34.7,65.8,-12.0
265,North Carolina Central,MEAC,31,18-13,104.6,112.8,0.2953,49.8,49.0,17.8,18.1,31.3,33.7,40.4,37.1,49.8,51.5,33.2,29.7,37.9,36.7,66.5,-9.7
